catnum,major_minor_code,course_title,course_desc,course_type,units,course_level,active_flag,create_date,last_update_date,updated_by_user_id,optimistic_lock,locked_by_user_id
MATH-1005,MTH,Calculus I,"Limits, derivatives, and integrals are developed from first principles and applied to problems in rates of change, optimization, and area under a curve. The Fundamental Theorem of Calculus ties differentiation and integration together, and standard techniques of integration extend the toolkit to a wider range of functions. Weekly problem sets emphasize technique alongside the reasoning behind each rule, building the mathematical language used throughout the engineering curriculum.",LEC,4,1,t,,,,,
MATH-1010,MTH,Calculus II,"Techniques of integration give way to infinite sequences and series, power series expansions, and an introduction to parametric and polar curves. Convergence tests are applied to a range of series, and Taylor polynomials approximate functions near a point. Problem sets connect these tools to physical models such as arc length and the work done by a variable force, preparing students for the vector calculus and differential equations that follow.",LEC,4,1,t,,,,,
MATH-2005,MTH,Multivariable Calculus,"Functions of several variables are differentiated and integrated using partial derivatives, gradients, and multiple integrals over regions in the plane and in space. Lagrange multipliers solve constrained optimization problems, and line and surface integrals lead into Green's theorem, Stokes' theorem, and the divergence theorem. Applications include computing mass, flux, and work for vector fields drawn from physics and engineering.",LEC,4,2,t,,,,,
MATH-2010,MTH,Linear Algebra,"Vectors, matrices, and systems of linear equations are treated through Gaussian elimination, matrix inverses, and determinants before moving to vector spaces, basis, and dimension. Eigenvalues and eigenvectors are introduced and used to diagonalize matrices and analyze linear transformations. Applications drawn from circuits, structures, and data fitting show how these tools recur across engineering disciplines.",LEC,4,2,t,,,,,
MATH-2015,MTH,Differential Equations,"First and second order ordinary differential equations are solved by separation of variables, integrating factors, and undetermined coefficients, with an introduction to Laplace transforms for handling discontinuous forcing. Systems of linear differential equations are analyzed using eigenvalues, and numerical methods such as Euler's method approximate solutions that resist a closed form. Models are drawn from mechanical vibration, circuit response, and population growth.",LEC,4,2,t,,,,,
MATH-2020,MTH,Discrete Mathematics,"Logic, set theory, and methods of proof including induction and contradiction form the foundation for later work in algorithms and formal reasoning. Graph theory, combinatorics, and recurrence relations are covered alongside their use in counting arguments and network models. Students write formal proofs and apply discrete structures to problems in computing and digital circuit design.",LEC,4,2,t,,,,,
MATH-3005,MTH,Probability and Statistics,"Random variables, common probability distributions, hypothesis testing, and regression are developed with an eye toward the experimental design and data analysis engineers perform throughout their careers. Problem sets use datasets drawn from engineering contexts, such as measurement error and reliability testing, rather than abstract examples. The course provides the statistical foundation assumed by later coursework in modeling and experimental methods.",LEC,4,3,t,,,,,
MATH-3010,MTH,Numerical Methods,"Root finding, interpolation, numerical integration, and the solution of linear systems are analyzed for accuracy and computational cost, with attention to how rounding and truncation error propagate through a calculation. Iterative methods for nonlinear equations and systems of equations are implemented and compared against direct methods. Numerical solution of ordinary differential equations, including Runge-Kutta methods, connects the course back to models built in earlier coursework.",LEC,4,3,t,,,,,
MATH-3015,MTH,Partial Differential Equations,"Separation of variables and Fourier series solve the heat equation, wave equation, and Laplace's equation on simple domains as boundary value problems with given initial and boundary data. Classification of second order partial differential equations into elliptic, parabolic, and hyperbolic types guides the choice of solution method and boundary conditions. Applications include heat conduction, vibrating strings, and steady state potential problems drawn from engineering practice.",LEC,4,3,t,,,,,
PHYS-1005,PHY,Physics I: Mechanics,"Kinematics, Newton's laws, work and energy, momentum, and rotational motion are developed using vector methods and applied to blocks, projectiles, pulleys, and rotating rigid bodies. Conservation of energy and momentum provide routes to problems that resist a direct force analysis. Problem sets require setting up free body diagrams and translating a physical situation into the equations that govern it.",LEC,4,1,t,,,,,
PHYS-1010,PHY,Physics I: Mechanics Laboratory,"Weekly experiments measure motion, force, and energy using photogates, force sensors, and rotational apparatus, giving direct experience with the quantities developed in lecture. Propagation of measurement uncertainty is calculated for each result, and data are compared against predicted values to judge agreement. Each session concludes with a written report presenting the setup, data, analysis, and sources of error. Laboratory companion to PHYS-1005.",LAB,2,1,t,,,,,
PHYS-1015,PHY,Physics II: Electricity and Magnetism,"Electric charge, fields, and potential lead into circuits, magnetic fields, and electromagnetic induction, culminating in Maxwell's equations and an introduction to electromagnetic waves. Gauss's law and Ampere's law are used to compute fields for symmetric charge and current distributions. Circuit analysis covers resistors, capacitors, and inductors in direct and alternating current configurations.",LEC,4,1,t,,,,,
